,id,year,output_value_tonnes
0,1,2008,1175900.0
1,2,2009,1014200.0000000001
2,3,2010,1100000.0
3,4,2011,1074700.0
4,5,2012,1039500.0000000001
5,6,2013,1018600.0000000001
6,7,2014,980100.0000000001
7,8,2015,968000.0000000001
8,9,2016,1007600.0000000001
9,10,2017,1039500.0000000001
10,11,2018,936100.0000000001
11,12,2019,905300.0000000001
